Date,City,State,Dead,Injured,Total,Description
12/4/19,Pearl Harbor,Hawaii,3,1,4,"22-year-old Gabriel Romero, a US Navy sailor and submarine crewman, randomly opened fire just minutes after starting his shift for routine guard duty at at Joint Base Pearl Harbor–Hickam. He opened fire on a group of civilian workers, killing two and wounded another, before immediately shooting himself. The motive is thought to be a toxic cultural environment in the USN, particularly among submarine crewman. [45]"
12/4/19,Montgomery (2),Alabama,2,2,4,Two people were killed and two wounded in an apartment complex.[46]
12/1/19,Comstock Township,Michigan,1,3,4,One person was killed and three police officers wounded when a home invasion turned into a hostage situation.[47]
12/1/19,Cotton Valley,Louisiana,2,3,5,"One woman was killed and three others wounded, including a perpetrator, after an argument escalated at a nightclub.[48]"
12/1/19,New Orleans (7),Louisiana,2,2,4,Two people were killed and two injured at an intersection hours after the first mass shooting in the city.[49]
12/1/19,Aurora (2),Illinois,1,4,5,"One person was killed and four were injured in a shooting in Aurora, Illinois.[50]"
12/1/19,New Orleans (6),Louisiana,0,10,10,2019 New Orleans shooting: Ten people were shot in a densely populated area with heavy police presence at a time when tens of thousands of tourists were downtown for the Bayou Classic football game.[51]
11/29/19,Amarillo,Texas,0,7,7,Seven people were shot at a nightclub in the early morning.[52]
11/27/19,New York City (6),New York,0,5,5,Five people were wounded including two children aged 10 and 15.[53]
11/25/19,Brownsville,Florida,2,2,4,Two men were killed and two others wounded in a drive-by shooting. One suspect was arrested after the car crashed into a parked police car.[54]
11/24/19,Los Angeles (8),California,0,6,6,Six people were wounded at a warehouse party after an argument escalated and the perpetrator opened fire.[55]
11/24/19,Cottonport,Louisiana,2,2,4,Two people were killed and two others injured in an early morning shooting at a club.[56]
11/24/19,Birmingham (4),Alabama,1,4,5,One person was killed and four others injured in a drive-by shooting after being made to leave a club following an argument.[57]
11/23/19,Tallulah,Louisiana,1,6,7,One person was killed and six injured after an argument at a club escalated and the perpetrator began to fire randomly.[58]
11/23/19,Los Angeles (7),California,0,4,4,Four people were wounded at an outdoor party after a fight broke out.[59]
11/21/19,Long Beach (3),California,0,5,5,Five people were wounded randomly as a man drove down a road and opened fire on pedestrians.[60]
11/21/19,Everett,Washington,0,4,4,Four people were wounded in an apartment complex during a large gathering.[61]
11/20/19,Richmond (2),California,0,4,4,Four people were wounded in a shooting.[62]
11/18/19,Newark (3),New Jersey,1,3,4,One person was killed and three people were injured in two homes on one street.[63]
11/17/19,Fresno (2),California,4,6,10,"2019 Fresno shooting: Ten people were shot, four fatally, at a football watch party.[64][65]"
11/17/19,Cleveland (4),Ohio,0,4,4,Four people were wounded outside a home by a drive-by shooting.[66]
11/16/19,San Diego (2),California,5,1,6,"A man killed his estranged wife and their three children, wounding a fourth child, before killing himself.[67]"
11/14/19,Santa Clarita,California,3,3,6,"Saugus High School shooting: A high school student shot five classmates, two fatally, before shooting himself; he died the next day in the hospital.[68]"
11/11/19,Belle Glade,Florida,0,4,4,Four people were shot randomly along a road.[69]
11/10/19,Kansas City (Mo) (4),Missouri,0,4,4,Four people were wounded outside a night club after a disturbance escalated.[70]
11/10/19,Memphis (4),Tennessee,1,4,5,A woman was killed and four others were wounded during an early morning shooting at a strip club.[71]
11/10/19,Little Rock (2),Arkansas,0,4,4,"An adult male and three children, aged 12 through 13-years-old, were wounded by an unknown perpetrator while filming a rap music video.[72]"
11/9/19,Vidalia,Georgia,0,4,4,"Two vehicles were shot at, wounding three adults and a 10-year-old child.[73]"
11/9/19,Detroit (4),Michigan,0,4,4,Four men were wounded in a drive-by shooting in a parking lot.[74]
11/7/19,Conyers,Georgia,2,3,5,An argument escalated and left one man injured and another dead. The shooter then engaged in a shootout with officers injuring two officers before being killed.[75]
11/4/19,Houston (9),Texas,1,3,4,A man was killed and three other people were injured when a person opened fire at a group in a driveway.[76]
11/3/19,Toledo (2),Ohio,0,4,4,Officers responding to a Shotspotter alert found four people wounded at a nightclub.[77]
11/3/19,Nacogdoches,Texas,1,3,4,"A man shot at five men working on a barn, killing one and injured three others.[78]"
11/2/19,Detroit (3),Michigan,1,4,5,One person was killed and five injured at an after hours party.[79]
11/2/19,Baton Rouge (3),Louisiana,0,4,4,Four people were wounded in a shooting.[80]
11/1/19,Tolleson,Arizona,0,5,5,Five teenagers were wounded at a Halloween party in a vacant home.[81]
11/1/19,San Angelo,Texas,0,4,4,Four people were wounded in a drive-by shooting outside a night club.[82]
10/31/19,Orinda,California,5,4,9,"Orinda shooting: At an overnight Halloweenparty attended by over 100 people, five people were killed, and four more wounded by gunfire.[83]"
10/29/19,Long Beach (2),California,3,9,12,Three men were killed and nine injured at a Halloween party at a residential home.[84]
10/28/19,Baltimore (15),Maryland,1,3,4,A man was killed and two adults and a 17-year-old were injured in front of a store.[85]
10/27/19,Detroit (2),Michigan,0,4,4,Four men were injured in a random drive by shooting.[86]
10/27/19,Lansing,Michigan,1,4,5,One man was killed and four others were injured at a house party.[87]
10/27/19,Greenville,Texas,2,10,12,Two men were killed and ten others injured at a large party to celebrate Texas A&M University's homecoming weekend.[88]
10/26/19,Jersey City (2),New Jersey,0,4,4,Four people were wounded in a late night shooting.[89]
10/24/19,Oklahoma City (3),Oklahoma,2,2,4,Two people were killed and two injured at a home late at night.[90]
10/22/19,Oklahoma City (2),Oklahoma,1,3,4,One person was killed and three wounded at an apartment complex late at night.[91]
10/21/19,Sumter (2),South Carolina,0,4,4,Four people were shot at random and wounded by a lone gunman.[92]
10/20/19,Port Arthur,Texas,1,3,4,A woman was killed and three others injured in an early morning shooting.[93]
10/19/19,Duquesne,Pennsylvania,0,4,4,Four people were shot in a drive-by shooting.[94]
10/19/19,El Paso (2),Texas,1,3,4,One man was killed and two others and a woman were injured in an early morning shooting.[95]
10/15/19,Miami,Oklahoma,2,2,4,A man killed his 11-year-old daughter and wounded her mother and the mother's boyfriend before committing suicide.[96]
10/15/19,Columbus (4),Ohio,0,4,4,Three teenagers and an adult male were injured while sitting on a porch.[97]
10/14/19,San Juan,Puerto Rico,8,0,8,2019 Río Piedras shooting: Eight people were killed in a shootout at a housing project.[98]
10/14/19,Philadelphia (11),Pennsylvania,3,1,4,A woman killed her two children and her husband before attempting to commit suicide.[99]
10/13/19,Akron (2),Ohio,0,4,4,One woman and three men were wounded outside a bar.[100]
10/13/19,Philadelphia (10),Pennsylvania,0,6,6,A 14-year-old boy and five men were wounded while standing on the street.[101]
10/12/19,New York City (5),New York,4,3,7,Four people were killed and three injured at a social club.[102]
10/12/19,Crosby,Texas,0,4,4,Four men were wounded after a brawl near a gas station.[103]
10/12/19,Baltimore (14),Maryland,1,3,4,A man was killed and three others injured.[104]
10/12/19,Chicago (30),Illinois,5,0,5,Four people were killed and one injured after a neighbor entered their apartment and opened fire. The fifth victim died of her injuries later in hospital.[105]
10/12/19,Eastpointe,Michigan,1,5,6,One person was killed and five injured after an argument escalated in a local bar.[106]
10/10/19,Philadelphia (9),Pennsylvania,0,5,5,Five men were wounded after a driver was angered over a game of dice.[107]
10/10/19,Milwaukee (2),Wisconsin,1,3,4,"A man was killed while another man and two children, ages 10 and 14, were wounded.[108]"
10/10/19,Tampa,Florida,2,2,4,Two people were killed and two wounded at a mobile home.[109]
10/9/19,Baltimore (13),Maryland,1,3,4,"A man was killed and three other individuals, including a 15-year-old boy, were injured.[110]"
10/7/19,Abington,Massachusetts,5,0,5,"A family of five, two adults and three children, were found shot to death in their home in an apparent murder-suicide.[111]"
10/6/19,Denver (2),Colorado,0,4,4,"An argument escalated during a large gathering outside a home, and four people were wounded.[112]"
10/6/19,Kansas City,Kansas,4,5,9,Four people were killed and another five people wounded in a shooting at a bar.[113]
10/6/19,Evansville (2),Indiana,0,5,5,"An argument inside of an American Legion bar escalated, and five men were shot as they left the bar.[114]"
10/5/19,Lawton,Oklahoma,4,0,4,Two adults and two children were discovered dead in a home.[115]
10/3/19,Marshall,Missouri,1,3,4,Three people were wounded and a fourth later died at the hospital in a shooting.[116]
10/3/19,Roxboro,North Carolina,1,3,4,A man was killed and three others wounded.[117]
10/1/19,St. Louis (7),Missouri,0,4,4,Four men were wounded after two cars drove by a crowd of people and opened fire.[118]
9/29/19,Clafin,Kansas,0,4,4,Four people were wounded after an individual fired a shotgun towards a group of people at a house party.[119]
9/29/19,Jacksonville (5),Florida,0,4,4,Four people were injured while attending a large party after an individual fired into the air.[120]
9/29/19,Milwaukee (1),Wisconsin,0,4,4,Four young women were injured after an individual fired into a home were a house party was being held.[121]
9/29/19,Round Lake,Illinois,1,3,4,A man was killed and three injured after unknown individuals attempted to crash a house party and began shooting.[122]
9/29/19,Beaumont,Texas,4,0,4,Four men were shot and killed at an apartment complex after a disturbance between roommates escalated.[123]
9/27/19,Seaman,Ohio,3,1,4,A man killed his mother then drove to a gas station where he attempted to kidnap a clerk then killed a man and injured the clerk before robbing another gas station and committing suicide.[124]
9/24/19,Chicago (29),Illinois,1,3,4,A 17-year-old boy was killed and three adults were injured in the Lower West Side.[125]
9/23/19,Gary,Indiana,2,2,4,Two men were killed and a woman and man injured in an early morning shooting.[126]
9/22/19,Independence,Missouri,0,5,5,Five people were wounded at The SPOTT Lifestyle and Swingers Club.[127]
9/21/19,New Orleans (5),Louisiana,0,4,4,Four people were wounded after shot were fired into their car.[128]
9/21/19,Indianapolis (5),Indiana,0,6,6,Three adults and three juveniles were injured after a fight escalated.[129]
9/21/19,Lancaster,South Carolina,2,8,10,"Ten people were shot, two fatally, during a bar fight that escalated.[130]"
9/21/19,South Bend (2),Indiana,1,3,4,A man was killed and three women injured in an early morning shooting.[131]
9/20/19,New Orleans (4),Louisiana,1,5,6,"Six people were shot, one fatally, at an intersection in the Mid-City Area.[132]"
9/19/19,"Washington, D.C. (7)","Washington, D.C.",1,5,6,"A man was killed, and four others and a woman injured, in a possible drive-by in the Columbia Heights District.[133]"
9/18/19,Chicago (28),Illinois,3,1,4,Three men were killed and one injured after an argument about cigarettes escalated outside a West Garfield Park convenience store.[134]
9/18/19,Los Angeles (6),California,2,2,4,"A man and woman were killed, and two other women injured, in the Wilmington neighborhoodafter an individual shot into a crowd of people.[135]"
9/16/19,Cheyenne,Wyoming,2,2,4,"Two adults killed, two juveniles injured in east Cheyenne shooting.[136]"
9/14/19,LaGrange,Georgia,0,4,4,Four individuals were wounded after an individual opened fire.[137]
9/14/19,St. Louis (6),Missouri,2,2,4,"Responding police officers discovered a car covered in gunshots, and discovered a deceased male and two men and a female injured. One of the injured men later died.[138]"
9/14/19,Oakland (4),California,1,4,5,"An argument escalated between two men outside a Laurel District bar, leading to a man killed and three men and a woman injured.[139]"
9/13/19,Cincinnati,Ohio,0,4,4,A feud between two men led to four people being injured after it escalated in the North Fairmont neighborhood.[140]
9/12/19,Albuquerque (3),New Mexico,1,3,4,One person was killed and three others injured at a local apartment complex.[141]
9/12/19,Albuquerque (2),New Mexico,4,2,6,"Two adults, a 16-year-old girl, and a 17-year-old boy were killed and two others injured in a mobile home park.[142][143]"
9/10/19,Chicago (27),Illinois,0,4,4,Three young adult males and a 17-year-old boy were injured in the back of a house in the West Town neighborhood.[144]
9/8/19,Alexandria (2),Louisiana,1,3,4,A woman shot and killed one woman and injured three others after a continuation of an argument escalated.[145]
9/8/19,Sumter (1),South Carolina,2,3,5,"Two men were killed and three other individuals injured at a local convenience store, in the early morning.[146]"
9/7/19,Whiteville,North Carolina,3,1,4,"A husband, wife and their five-year-old son were killed while the grandmother was injured in a targeted attack.[147]"
9/4/19,Marrero,Louisiana,2,2,4,"A man and a seven-year-old girl were killed, and another man and a 11-year-old boy were injured after an argument apparently escalated.[148]"
9/4/19,Jacksonville (4),Florida,0,4,4,Three adults and a child were wounded in a shooting.[149]
9/2/19,Elkmont,Alabama,5,0,5,A 14-year-old boy shot dead five family members – two adults and three children – in an Alabama residence. He confessed the crime to the police.[150]
9/2/19,Chicago (26),Illinois,0,4,4,Four men were wounded in a drive-by shooting outside of a CTA Green Line station in Washington Park.[151]
9/2/19,Greensboro,North Carolina,2,2,4,Two men were killed and a woman and small child injured during a home invasion.[152]
9/1/19,Rocky Mount,North Carolina,0,4,4,Four people were shot at a private party at a Moose Lodge.[153]
9/1/19,Valley,Alabama,0,7,7,Six adult males and a 15-year-old boy were wounded outside a kindergarten after an argument over a Lanett vs. Lafayette football game escalated.[154]
9/1/19,Hartford (2),Connecticut,0,4,4,Three men and a 17-year-old boy were wounded in a shooting.[155]
9/1/19,Toledo (1),Ohio,0,4,4,Four people were found shot in the early morning.[156]
8/31/19,Odessa and Midland,Texas,8,25,33,"Midland–Odessa shooting: Eight people were killed, including the perpetrator, and 25 were wounded when a gunman opened fire on police and civilians after fleeing from a traffic stop.[157]"
8/31/19,Charlotte (4),North Carolina,1,3,4,A man was killed and three others were injured at a University of North Carolina at Charlotte off-campus apartment complex.[158]
8/31/19,Frederick,Maryland,0,4,4,Four people were injured after an argument escalated.[159]
8/30/19,Mobile (2),Alabama,0,10,10,"Ten people, ranging in age from 15 to 18, were injured at a high school football game after a fight escalated.[160]"
8/30/19,Baltimore (12),Maryland,1,3,4,A woman was killed and three others were injured in a possible retaliation to a previous stabbing.[161]
8/29/19,Baltimore (11),Maryland,1,3,4,"A 16-year-old boy was killed, while two teen boys – a 14-year-old and 15-year-old – and an adult woman were injured.[162]"
8/26/19,Pembroke Falls,Florida,4,0,4,"A man killed his wife, mother-in-law, and one of his three-year-old twin daughters before committing suicide.[163]"
8/25/19,Chicago (25),Illinois,1,3,4,A 17-year-old boy was killed and three adults were wounded after a large group was fired upon.[164]
8/25/19,Hobbs,New Mexico,3,4,7,Police responded to a party due to a shots fired call and found three dead and four wounded.[165]
8/24/19,Lynn,Massachusetts,1,3,4,A man was killed and three were injured while attending a basketball tournament.[166]
8/24/19,Coconut Creek,Florida,2,3,5,"Two people were killed and three were injured, including a police officer, in a shooting. A suspect was apprehended.[167]"
8/24/19,Temple,Maryland,0,7,7,Seven people were wounded at a two-year-old's birthday party after a fight escalated.[168]
8/23/19,St. Louis (5),Missouri,1,3,4,An eight-year-old girl was killed and three others were wounded in a shooting near Soldan High School.[169]
8/23/19,Houston (8),Texas,2,2,4,Two men were killed and a man and woman were injured in a drive-by shooting.[170]
8/22/19,Columbia (2),South Carolina,2,2,4,"A man opened fire on patrons at a bar, killing two and wounding two others, after being kicked out.[171]"
8/22/19,Los Angeles (5),California,0,4,4,"Four people, including a social worker and a security guard were wounded in the Skid Rowdistrict.[172]"
8/20/19,Atlanta (6),Georgia,0,4,4,Four female students from Clark Atlanta University and Spelman College were wounded during a block party.[173]
8/18/19,Kansas City (Mo) (3),Missouri,0,4,4,Four teenagers were wounded after an argument escalated during a gathering in a hotel room.[174]
8/17/19,Houston (7),Texas,0,7,7,Seven people were injured in a shooting at a party.[175]
8/17/19,Kansas City (Mo) (2),Missouri,0,4,4,Police responded to a shooting call and discovered four people wounded.[176]
8/17/19,Newport News,Virginia,1,3,4,"A woman was killed, and responding officers engaged with the suspect causing an officer, bystander and the suspect to be wounded.[177]"
8/15/19,Philadelphia (8),Pennsylvania,0,5,5,Four men and a teenage boy were wounded.[178]
8/15/19,Montgomery (1),Alabama,2,3,5,Two people were killed and three wounded in a shooting near Alabama State University.[179]
8/14/19,New Manchester,West Virginia,1,5,6,A man killed his girlfriend and injured five others and a dog before being wounded by police and arrested.[180]
8/14/19,Philadelphia (7),Pennsylvania,0,6,6,Six Philadelphia Police officers were shot during an eight-hour standoff while attempting to serve a drug warrant.[181]
8/13/19,Tacoma,Washington,2,3,5,Police responded to calls of shots fired and found a deceased male and three women wounded. One died at the hospital from their injuries.[182]
8/13/19,Greenwood,Mississippi,0,4,4,Four people were wounded in a shooting.[183]
8/12/19,Riverside,California,2,2,4,A police officer was killed and two were wounded after a suspect opened fire during a traffic stop. The suspect was killed by police.[184]
8/12/19,Hickory,North Carolina,3,1,4,"A man shot and killed his estranged wife and a man, then wounded another man before committing suicide.[185]"
8/11/19,Chicago (24),Illinois,0,6,6,Six people were injured when they were shot by a gunman in a car in Garfield Park.[186]
8/10/19,San Francisco (2),California,0,4,4,Four people were injured in an overnight shooting in the parking lot of a McDonald's restaurant.[187]
8/10/19,Richmond (1),Virginia,0,4,4,Four people were injured in a shooting.[188]
8/9/19,Houston (6),Texas,0,4,4,Four men were injured during a shoot-out at a convenience store.[189]
8/9/19,Chicago (23),Illinois,0,4,4,Four people were injured in a drive-by shooting in Marquette Park.[190]
8/8/19,Irvington,New Jersey,1,3,4,A gunman wearing body armor killed another man and wounded three responding police officers before being arrested.[191]
8/7/19,St. Louis (4),Missouri,2,2,4,Two people were killed and two were injured in a shooting that also involved a motor vehicle crash.[192]
8/6/19,Stone Mountain,Georgia,4,0,4,"A man killed two women and a man, before killing himself in a triple murder–suicide.[193]"
8/6/19,Detroit (1),Michigan,0,4,4,Four people were shot and injured after a dispute.[194]
8/5/19,San Antonio (4),Texas,4,0,4,"A man killed his uncle, grandmother and mother before he set the house on fire and committed suicide in a triple murder–suicide.[195]"
8/5/19,Suitland,Maryland,1,3,4,One person was killed and three were wounded after a large fight broke out following a funeral service.[196]
8/5/19,New York City (4),New York,0,4,4,Four people were injured in a shooting during a candlelight vigil in Crown Heights.[197]
8/4/19,Memphis (3),Tennessee,1,3,4,One man was killed and three others were injured in an early morning shooting.[198]
8/4/19,Grenada,Mississippi,0,4,4,Four people were discovered wounded in an overnight shooting.[199]
8/4/19,Chicago (22),Illinois,1,7,8,One person was killed and seven others were injured in a shooting in the Lawndale community.[200]
8/4/19,Chicago (21),Illinois,0,7,7,Seven people were wounded in a drive-by shooting near Douglass Park.[201]
8/4/19,Dayton,Ohio,10,27,37,"2019 Dayton shooting: A gunman killed nine people and injured 27 outside of a bar after he was denied entry, before being killed by police.[202]"
8/3/19,El Paso (1),Texas,23,23,46,2019 El Paso shooting: 23 people were killed and 23 were injured at a Walmart near the Cielo Vista Mall in a Hispanophobic massacre.[203]The perpetrator was taken into custody.[204][205]
8/2/19,Pomfret,Maryland,3,1,4,"A man shot and killed his in-laws, and wounded an 11-year-old boy sitting in a relative's car before committing suicide.[206]"
8/2/19,Suffolk,Virginia,2,3,5,"Two men were killed, and two women and a two-year-old were wounded at multiple crime scenes.[207]"
7/31/19,Elkhart,Indiana,3,1,4,"Police responding to shots fired at a senior living complex discovered a wounded woman, and two males and a woman deceased. It is believed one of the deceased males was the shooter.[208]"
7/30/19,Southaven,Mississippi,2,2,4,"At a Walmart store, a man killed two people then wounded a police officer before being shot by police and arrested.[209]"
7/30/19,Haskell,Oklahoma,0,4,4,"During an attempted home invasion, shots were fired and four people were wounded.[210]"
7/30/19,Rosenberg,Texas,3,1,4,"A man shot and killed his ex-girlfriends parents, and wounded her, before committing suicide in a murder–suicide.[211]"
7/30/19,Columbus (3),Ohio,0,5,5,Five people were shot at a party at a home rented through Airbnb.[212]
7/28/19,Chippewa Falls,Wisconsin,5,2,7,"A gunman shot six people, four fatally, before killing himself.[213]"
7/28/19,Gilroy,California,4,17,21,"Gilroy Garlic Festival shooting: Sixteen people were shot, four fatally, including a gunman and two children, at the Gilroy Garlic Festival.[214]"
7/28/19,Uniontown,Pennsylvania,0,4,4,Four people were wounded on two separate streets in connection with a large party.[215]
7/28/19,Philadelphia (6),Pennsylvania,1,5,6,One man was killed and five were injured by an unknown perpetrator as the victims were preparing to shoot a rap video.[216]
7/28/19,Chicago (20),Illinois,0,4,4,One woman and three men were wounded in a drive-by shooting outside of a Lawndale gas station.[217]
7/28/19,"Washington, D.C. (6)","Washington, D.C.",0,4,4,Four people were shot and injured while standing outside of a bar/nightclub.[218]
7/27/19,Wichita (3),Kansas,1,3,4,One man was killed and three were injured after an altercation at an apartment complex. The suspect was later arrested.[219]
7/27/19,New York City (3),New York,1,12,13,"Thirteen people were shot, one fatally, at a playground in Brownsville.[220]"
7/25/19,Albermarle,North Carolina,3,1,4,"Officers responded to a call at a residence and discovered three deceased victims, and one wounded male, resulting from a double murder–suicide.[221]"
7/25/19,Los Angeles (4),California,4,2,6,"A man killed four people, including his father and brother, and wounded two more at a total of four different crime scenes across the San Fernando Valley. Two of the wounded later died, bringing the death toll to 4 people.[222][223]"
7/23/19,Pembroke Park,Florida,2,2,4,Two men were killed and two others were wounded after an argument between a group escalated into a shooting.[224]
7/21/19,Chicago (19),Illinois,0,4,4,"A gunman opened fire on a group of people, wounding four, as they congregated outside of a gas station.[225]"
7/21/19,"Washington, D.C. (5)","Washington, D.C.",0,4,4,"Four people were injured in a shooting, which was captured by surveillance video.[226]"
7/20/19,Jersey City (1),New Jersey,0,6,6,Six people were wounded in an overnight shooting.[227]
7/20/19,Clairton,Pennsylvania,0,4,4,Four teenagers—between the ages of 14 and 18—were wounded in a shooting at a graduation party.[228]
7/20/19,Chicago (18),Illinois,0,7,7,"Seven people were wounded in a shooting in Lincoln Park, after an argument between two groups escalated.[229]"
7/18/19,Chicago (17),Illinois,1,3,4,One woman was killed and three people were injured on a porch at a home in Garfield Park in Chicago's West Side.[230]
7/17/19,Lubbock,Texas,1,3,4,Five men in a vehicle were targeted by a shooter who killed one and injured three others.[231]
7/16/19,San Antonio (3),Texas,0,4,4,"A man opened fire on his co-workers at a moving company, injuring four, after a disagreement escalated. The suspect was later arrested.[232]"
7/15/19,New Orleans (3),Louisiana,1,3,4,One person was killed and three were wounded in an apartment complex.[233]
7/15/19,Atlanta (5),Georgia,0,4,4,Four people were wounded in a shooting after a potential drug deal turns deadly.[234]
7/15/19,Baltimore (10),Maryland,2,2,4,"A man attempted to use a gun to demand methadone, then killed one and wounded two before being killed by police in a shootout.[235]"
7/13/19,Philadelphia (5),Pennsylvania,0,7,7,Seven people were wounded in a shooting during a neighborhood basketball game.[236]
7/13/19,Chicago (16),Illinois,1,4,5,One person was killed and four were wounded in a drive-by shooting in Chicago's South Side.[237]
7/11/19,Houston (5),Texas,0,4,4,"Four suspects got into a gunfight, wounding four teenagers in a common area at an apartment complex.[238]"
7/8/19,Manson,North Carolina,2,2,4,"Two people were killed and two children—16 and 10-years-old, were wounded after a domestic dispute escalated.[239]"
7/8/19,"Washington, D.C. (4)","Washington, D.C.",0,4,4,Four perpetrators wounded four men in a shooting outside of a 7-Eleven store.[240]
7/7/19,Flint,Michigan,2,4,6,"Six people were shot, two fatally, while in a car at a gas station. Police are looking for two suspects.[241]"
7/7/19,Wichita (2),Kansas,0,4,4,Four people were wounded in a shooting after a potential argument escalated.[242]
7/7/19,Chicago (15),Illinois,0,4,4,Four people were wounded in an early morning shooting in Chicago's Englewoodneighborhood.[243]
7/7/19,Albuquerque (1),New Mexico,0,4,4,Four people were discovered wounded in a parking lot in the downtown area.[244]
7/6/19,San Jose (2),California,0,4,4,"Four people were discovered wounded by police, who responded to a shots fired call; the victims had driven away from the initial scene.[245]"
7/6/19,St. Clair Shores,Michigan,2,2,4,"After a dispute over fireworks, a man shot into a crowd and injured a 12-year-old child and a woman, then barricaded himself in his home. Police discovered him and a woman deceased in the home.[246]"
7/6/19,Charlotte (3),North Carolina,0,4,4,Four people were shot in a McDonald's parking lot after a dispute involving a rideshare vehicle.[247]
7/5/19,New York City (2),New York,0,4,4,A gunman opened fire — injuring four people in the East New York neighborhood.[248]
7/5/19,Chicago (14),Illinois,0,5,5,Five people were wounded in a shooting in Chicago's Woodlawn community.[249]
7/5/19,Reno,Nevada,1,3,4,One person died and three were wounded in a shooting.[250]
7/5/19,Gravette,Arkansas,4,0,4,"Four people were found deceased at a home in an apparent murder–suicide. The deaths consisted of two young males, and one middle aged female, not including the perpetrator who killed himself afterwards.[251]"
7/5/19,Boston (2),Massachusetts,0,6,6,Six people were wounded in Boston's Roxburyneighborhood.[252]
7/4/19,Chicago (13),Illinois,1,3,4,"One man was killed and three were wounded, after a suspect opened fire from a vehicle.[253]"
